severity,host,finding,detail,source
critical,accounts.zoho.in,Possible SSH private key exposed,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/id_rsa,builtin
critical,accounts.zoho.in,Possible SSH private key exposed,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/id_rsa,builtin
critical,accounts.zoho.in,Possible SSH private key exposed,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/id_rsa,builtin
critical,accounts.zoho.in,Possible SSH private key exposed,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/id_rsa,builtin
critical,accounts.zoho.in,Possible SSH private key exposed,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/id_rsa,builtin
critical,api-dashboard.fyers.in,Server-side template injection in 'theme','theme' containing {{7*7}} returns 49.,owasp
critical,api-connect-docs.fyers.in,Server-side template injection in 'onload','onload' containing <%= 7*7 %> returns 49.,owasp
critical,fundtransfer.fyers.in,Server-side template injection in 'onload','onload' containing {{7*7}} returns 49.,owasp
critical,marketsmith.fyers.in,Server-side template injection in 'theme','theme' containing {{7*7}} returns 49.,owasp
critical,savedcharts.fyers.in,Server-side template injection in 'theme','theme' containing <%= 7*7 %> returns 49.,owasp
high,fyers.in,Exposed .env file,https://fyers.in/web/.env.local,builtin
high,fyers.in,Exposed .env file,https://fyers.in/web/.env.production,builtin
high,fyers.in,Adminer database console exposed,https://fyers.in/web/adminer.php,builtin
high,fyers.in,Spring Actuator env exposed,https://fyers.in/web/actuator/env,builtin
high,accounts.zoho.in,Exposed .git repository,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/.git/HEAD,builtin
high,accounts.zoho.in,Exposed .git repository,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/.git/config,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/.env,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/.env.local,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/.env.production,builtin
high,accounts.zoho.in,Adminer database console exposed,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/adminer.php,builtin
high,accounts.zoho.in,Spring Actuator env exposed,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/actuator/env,builtin
high,accounts.zoho.in,Exposed .htpasswd,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/.htpasswd,builtin
high,accounts.zoho.in,Exposed .git repository,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/.git/HEAD,builtin
high,accounts.zoho.in,Exposed .git repository,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/.git/config,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/.env,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/.env.local,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/.env.production,builtin
high,accounts.zoho.in,Adminer database console exposed,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/adminer.php,builtin
high,accounts.zoho.in,Spring Actuator env exposed,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/actuator/env,builtin
high,accounts.zoho.in,Exposed .htpasswd,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/.htpasswd,builtin
high,fyers.in,Exposed .env file,https://fyers.in/community/.env.production,builtin
high,fyers.in,Exposed .env file,https://fyers.in/community/.env.local,builtin
high,fyers.in,Adminer database console exposed,https://fyers.in/community/adminer.php,builtin
high,fyers.in,Spring Actuator env exposed,https://fyers.in/community/actuator/env,builtin
high,accounts.zoho.in,Exposed .git repository,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/.git/HEAD,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/.env,builtin
high,accounts.zoho.in,Exposed .git repository,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/.git/config,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/.env.production,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/.env.local,builtin
high,accounts.zoho.in,Adminer database console exposed,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/adminer.php,builtin
high,accounts.zoho.in,Spring Actuator env exposed,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/actuator/env,builtin
high,accounts.zoho.in,Exposed .htpasswd,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/.htpasswd,builtin
high,accounts.zoho.in,Exposed .git repository,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/.git/HEAD,builtin
high,accounts.zoho.in,Exposed .git repository,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/.git/config,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/.env.local,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/.env,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/.env.production,builtin
high,accounts.zoho.in,Adminer database console exposed,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/adminer.php,builtin
high,accounts.zoho.in,Spring Actuator env exposed,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/actuator/env,builtin
high,accounts.zoho.in,Exposed .htpasswd,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/.htpasswd,builtin
high,accounts.zoho.in,Exposed .git repository,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/.git/HEAD,builtin
high,accounts.zoho.in,Exposed .git repository,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/.git/config,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/.env,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/.env.local,builtin
high,accounts.zoho.in,Exposed .env file,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/.env.production,builtin
high,accounts.zoho.in,Adminer database console exposed,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/adminer.php,builtin
high,accounts.zoho.in,Spring Actuator env exposed,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/actuator/env,builtin
high,accounts.zoho.in,Exposed .htpasswd,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/.htpasswd,builtin
medium,fyers.in,Secret in JS: Generic Password Assignment,ResetPassword  (https://app.t-assets.net/neo/4.148.1-17214/assets/client.entry-bTV4nJr0.js),jsrecon
medium,fyers.in,Secret in JS: Generic Password Assignment,default::forgot-password  (https://app.t-assets.net/neo/4.148.1-17214/assets/client.entry-bTV4nJr0.js),jsrecon
medium,fyers.in,Secret in JS: Generic Password Assignment,default::reset-password  (https://app.t-assets.net/neo/4.148.1-17214/assets/client.entry-bTV4nJr0.js),jsrecon
medium,fyers.in,Possible backup file exposed,https://fyers.in/web/backup.zip,builtin
medium,fyers.in,Possible backup file exposed,https://fyers.in/web/backup.tar.gz,builtin
medium,fyers.in,Possible backup file exposed,https://fyers.in/web/backup.sql,builtin
medium,fyers.in,Apache server-status exposed,https://fyers.in/web/server-status,builtin
medium,fyers.in,phpMyAdmin exposed,https://fyers.in/web/phpmyadmin,builtin
medium,fyers.in,Spring Actuator exposed,https://fyers.in/web/actuator/health,builtin
medium,fyers.in,Spring Actuator exposed,https://fyers.in/web/actuator,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/backup.zip,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/backup.tar.gz,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/backup.sql,builtin
medium,accounts.zoho.in,phpMyAdmin exposed,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/phpmyadmin,builtin
medium,accounts.zoho.in,Apache server-status exposed,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/server-status,builtin
medium,accounts.zoho.in,Spring Actuator exposed,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/actuator,builtin
medium,accounts.zoho.in,Spring Actuator exposed,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/actuator/health,builtin
medium,accounts.zoho.in,phpinfo() exposed,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/phpinfo.php,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/backup.zip,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/backup.tar.gz,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/backup.sql,builtin
medium,accounts.zoho.in,phpMyAdmin exposed,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/phpmyadmin,builtin
medium,accounts.zoho.in,Apache server-status exposed,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/server-status,builtin
medium,accounts.zoho.in,Spring Actuator exposed,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/actuator,builtin
medium,accounts.zoho.in,Spring Actuator exposed,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/actuator/health,builtin
medium,accounts.zoho.in,phpinfo() exposed,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/phpinfo.php,builtin
medium,fyers.in,Possible backup file exposed,https://fyers.in/community/backup.zip,builtin
medium,fyers.in,Possible backup file exposed,https://fyers.in/community/backup.tar.gz,builtin
medium,fyers.in,Possible backup file exposed,https://fyers.in/community/backup.sql,builtin
medium,fyers.in,phpMyAdmin exposed,https://fyers.in/community/phpmyadmin,builtin
medium,fyers.in,Apache server-status exposed,https://fyers.in/community/server-status,builtin
medium,fyers.in,Spring Actuator exposed,https://fyers.in/community/actuator,builtin
medium,fyers.in,Spring Actuator exposed,https://fyers.in/community/actuator/health,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/backup.tar.gz,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/backup.zip,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/backup.sql,builtin
medium,accounts.zoho.in,phpMyAdmin exposed,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/phpmyadmin,builtin
medium,accounts.zoho.in,Apache server-status exposed,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/server-status,builtin
medium,accounts.zoho.in,Spring Actuator exposed,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/actuator,builtin
medium,accounts.zoho.in,Spring Actuator exposed,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/actuator/health,builtin
medium,accounts.zoho.in,phpinfo() exposed,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/phpinfo.php,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/backup.zip,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/backup.sql,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/backup.tar.gz,builtin
medium,accounts.zoho.in,phpMyAdmin exposed,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/phpmyadmin,builtin
medium,accounts.zoho.in,Apache server-status exposed,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/server-status,builtin
medium,accounts.zoho.in,Spring Actuator exposed,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/actuator,builtin
medium,accounts.zoho.in,Spring Actuator exposed,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/actuator/health,builtin
medium,accounts.zoho.in,phpinfo() exposed,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/phpinfo.php,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/backup.zip,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/backup.tar.gz,builtin
medium,accounts.zoho.in,Possible backup file exposed,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/backup.sql,builtin
medium,accounts.zoho.in,phpMyAdmin exposed,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/phpmyadmin,builtin
medium,accounts.zoho.in,Apache server-status exposed,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/server-status,builtin
medium,accounts.zoho.in,Spring Actuator exposed,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/actuator,builtin
medium,accounts.zoho.in,Spring Actuator exposed,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/actuator/health,builtin
medium,accounts.zoho.in,phpinfo() exposed,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/phpinfo.php,builtin
low,fyers.in,Secret in JS: Internal Hostname,http://localhost:8083  (https://app.digio.in/sdk/v11/digio.js),jsrecon
low,fyers.in,Secret in JS: Internal Hostname,http://localhost  (https://app.t-assets.net/neo/4.148.1-17214/assets/client.entry-bTV4nJr0.js),jsrecon
low,fyers.in,Secret in JS: Internal Hostname,http://localhost:8082  (https://app.digio.in/sdk/v9/digio.js),jsrecon
low,algofox.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,alerts.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,api-connect-docs.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,api-dashboard.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,api-docs.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,api-t1-cdn.fyers.in,Missing security headers,Content-Security-Policy,builtin
low,api-t1.fyers.in,Missing security headers,Content-Security-Policy,builtin
